Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.9,26454683,4100,6452.4,6368.0,3040,180542,2733.6,"void ninfer::ops::rmsnorm_cta_bf16x2_kernel<(ninfer::ops::RmsEpilogue)0, (int)512, (int)8>(const __nv_bfloat162 *, const __nv_bfloat162 *, const __nv_bfloat162 *, __nv_bfloat162 *, int, long long, float)"
0.9,25316726,1536,16482.2,15136.0,12448,727991,26870.3,"void ninfer::ops::rmsnorm_warp_bf16x2_kernel<(ninfer::ops::RmsEpilogue)2, (int)512>(const __nv_bfloat162 *, const __nv_bfloat162 *, const __nv_bfloat162 *, __nv_bfloat162 *, int, long long, float)"
0.8,22437951,1536,14608.0,14240.0,13728,296061,9667.5,"void ninfer::ops::detail::bf16_gdn_gating_proj_gemm_mma_kernel<ninfer::ops::detail::Bf16Gdn27Geometry, (int)8, (bool)1, (int)8, (bool)0, (int)0>(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float, const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const float *, float *, float *, float *, int)"
0.5,14088816,3904,3608.8,3584.0,3360,21664,352.1,"void ninfer::ops::detail::nvfp4_w4a4_quantize_kernel<ninfer::ops::detail::Nvfp4ActivationGeometry<(int)5120>, (int)256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)"
0.3,8167349,3072,2658.6,2656.0,2528,2976,40.1,"void ninfer::ops::l2norm_warp_bf16x2_kernel<(int)512>(const __nv_bfloat162 *, __nv_bfloat162 *, int, long long, float)"
0.3,7690620,1952,3939.9,3936.0,3776,4864,69.1,"void ninfer::ops::detail::nvfp4_w4a4_quantize_kernel<ninfer::ops::detail::Nvfp4ActivationGeometry<(int)6144>, (int)256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)"
0.2,5347558,512,10444.4,9632.0,9024,14528,1264.4,"void ninfer::ops::rope_norm_fused_kernel<(ninfer::ops::RopeKernelMode)0, (int)24, (int)4, (int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat162 *, const __nv_bfloat162 *, float, const int *, ninfer::ops::RopeFrequencies, __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.2,5170530,512,10098.7,9599.0,9151,244861,10407.1,"ninfer::ops::sigmoid_gate_mul_bf16x8_kernel(const ninfer::ops::Bf16PairPack<(int)4> *, ninfer::ops::Bf16PairPack<(int)4> *, long long)"
0.2,4425102,4,1106275.5,1161875.0,806231,1295121,209937.5,"void ninfer::ops::detail::w8_small_t_mma_kernel<ninfer::ops::detail::W8LinearGeometry<(int)248320, (int)5120>, (int)1, ninfer::ops::detail::W8SmallTMmaSchedule<(int)8, (int)8, (int)2, (ninfer::ops::detail::W8SmallTMmaScaleAccess)0, (ninfer::ops::Cache)0, (ninfer::ops::Cache)1, (ninfer::ops::detail::W8SmallTMmaActivationStage)0>, ninfer::ops::detail::W8ContiguousOutput, ninfer::ops::detail::W8SmallTMmaStoreEpilogue, ninfer::ops::detail::W8SmallTMmaIdentityRows, (bool)0>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, T4, T5, T6)"
0.1,2220264,1536,1445.5,1440.0,1376,1824,40.8,"ninfer::ops::causal_conv1d_prefill_state_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.1,1626355,512,3176.5,3136.0,2688,4736,280.7,"void ninfer::ops::gqa_attention_prefill_fill_bf16_kernel<ninfer::ops::GqaGeometry<(int)24, (int)4, (int)1>, ninfer::ops::GqaPrefillBatchMetadata<(bool)0>>(const __nv_bfloat16 *, const __nv_bfloat16 *, const int *, T2, __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,647224,32,20225.8,20207.5,20160,20352,55.0,"ninfer::ops::embed_gather_w8_kernel(const int *, const unsigned char *, const unsigned char *, __nv_bfloat16 *, int, int, int)"
0.0,358047,512,699.3,704.0,672,832,22.6,"ninfer::ops::fill_i32_positions_kernel(int *, int, int)"
0.0,10368,4,2592.0,2576.0,2528,2688,69.1,"ninfer::ops::sampling_group_finalize_sample_kernel(int *, const ninfer::ops::SamplingConfig *, const int *, int, int, int, int, ninfer::ops::SamplingWorkspace)"
0.0,8768,4,2192.0,2160.0,2112,2336,99.5,"ninfer::ops::sampling_partial_topk_kernel(const __nv_bfloat16 *, const ninfer::ops::SamplingConfig *, int, int, ninfer::ops::SamplingWorkspace, const uint4 *, const int *, uint4 *, int)"
