Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
1.4,86171994,54,1595777.7,1416055.5,361022,3859560,1251012.7,"void ninfer::ops::detail::q4_rowsplit_gemm_mma_kernel<ninfer::ops::detail::Q4RowSplitMmaGemmSchedule<(int)64, (int)128, (int)64, (int)64, (int)32, (int)2, (int)1, (ninfer::ops::detail::Q4FragmentPipeline)0, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Q4ScaleLoad)1>, (bool)1>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, __nv_bfloat16 *, int, int, int, int)"
1.2,75666379,1098,68912.9,66432.0,63167,368573,26047.3,"void ninfer::ops::detail::nvfp4_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)6144>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>, ninfer::ops::detail::Nvfp4AddResidualEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, T3, T4)"
1.1,63804250,960,66462.8,70943.0,7104,404956,24562.3,"void ninfer::ops::detail::gated_delta_net::chunked::state_passing::state_passing_kernel<(int)16>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const float *, __nv_bfloat16 *, __nv_bfloat16 *, float *, ninfer::ops::detail::gated_delta_net::head_map, int)"
0.8,50908270,137,371593.2,182335.0,94495,1293433,288090.6,"void ninfer::ops::add_bias_bf16x2_kernel<(int)256>(const __nv_bfloat162 *, __nv_bfloat162 *, int, int)"
0.7,41318173,960,43039.8,45343.0,17248,326013,12072.7,"void ninfer::ops::detail::gated_delta_net::chunked::prepare_wy_wu::prepare_wy_wu_kernel<(int)64, (int)32, (int)8>(const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const float *, __nv_bfloat16 *, __nv_bfloat16 *, float *, ninfer::ops::detail::gated_delta_net::head_map)"
0.5,29577649,54,547734.2,539804.5,129791,1224121,418234.0,"void ninfer::ops::detail::q5_rowsplit_gemm_mma_kernel<ninfer::ops::detail::Q5RowSplitMmaGemmSchedule<(int)64, (int)128, (int)64, (int)64, (int)32, (int)2, (int)1, (ninfer::ops::detail::Q5FragmentPipeline)0, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Q5ScaleLoad)1>, (bool)1, (ninfer::ops::detail::Q5MmaEpilogue)0>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, const unsigned char *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int, int, int)"
0.4,27190472,864,31470.5,30400.0,28831,310270,15702.4,"void ninfer::ops::detail::gated_delta_net::chunked::output::output_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const __nv_bfloat16 *, __nv_bfloat16 *, ninfer::ops::detail::gated_delta_net::head_map, float, int)"
0.4,27033551,180,150186.4,149198.0,139039,409597,19630.4,"void ninfer::ops::detail::nvfp4_w4a4_tma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)14336, (int)5120>, ninfer::ops::detail::Nvfp4W4a4TmaSchedule<(int)256, (int)3, (int)1>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::<unnamed>::AttentionOutput>(const ninfer::ops::detail::Nvfp4W4a4TmaDescriptors *, float, T3, T4)"
0.4,26135130,912,28656.9,26976.0,8896,573340,35537.7,"ninfer::ops::causal_conv1d_prefill_pairs_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.4,24067347,54,445691.6,398381.5,90688,1404056,384433.0,"void ninfer::ops::gelu_bf16x2_kernel<(bool)1, (int)256>(__nv_bfloat162 *, long long, __nv_bfloat16 *, bool)"
0.4,22243968,1408,15798.3,17920.0,1407,558652,19878.4,"void ninfer::ops::detail::nvfp4_w4a4_quantize_kernel<ninfer::ops::detail::Nvfp4ActivationGeometry<(int)17408>, (int)256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)"
0.3,19628047,54,363482.4,352445.0,341342,680954,55163.2,"void ninfer::ops::detail::bf16_gemm_mma_kernel<ninfer::ops::detail::Bf16GemvGeometry<(int)5120, (int)6144>, ninfer::ops::detail::Bf16MmaSchedule<(int)64, (int)128, (int)64, (int)32, (int)32, (int)2, (int)2, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Bf16MmaFragmentPipeline)1, (ninfer::ops::detail::Bf16MmaRaster)0, (ninfer::ops::detail::Bf16MmaSwizzle)1, (int)1>, (bool)1, ninfer::ops::detail::<unnamed>::Bf16LinearAddMmaOutput>(const __nv_bfloat16 *, const __nv_bfloat16 *, T4, int)"
0.3,18825106,22,855686.6,814905.0,791577,1395416,146840.8,"void ninfer::ops::detail::w8_small_t_mma_kernel<ninfer::ops::detail::W8LinearGeometry<(int)248320, (int)5120>, (int)1, ninfer::ops::detail::W8SmallTMmaSchedule<(int)8, (int)8, (int)2, (ninfer::ops::detail::W8SmallTMmaScaleAccess)0, (ninfer::ops::Cache)0, (ninfer::ops::Cache)1, (ninfer::ops::detail::W8SmallTMmaActivationStage)0>, ninfer::ops::detail::W8ContiguousOutput, ninfer::ops::detail::W8SmallTMmaStoreEpilogue, ninfer::ops::detail::W8SmallTMmaIdentityRows, (bool)0>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, T4, T5, T6)"
0.3,17751224,108,164363.2,143711.0,14176,1163992,183239.7,"ninfer::ops::residual_add_bf16x8_kernel(const ninfer::ops::Bf16PairPack<(int)4> *, ninfer::ops::Bf16PairPack<(int)4> *, long long)"
0.3,17348507,148,117219.6,87983.5,87519,3887881,314475.0,"void ninfer::ops::detail::w8_rowsplit_gemm_mma_kernel<ninfer::ops::detail::W8RowSplitMmaGemmSchedule<(int)64, (int)128, (int)64, (int)16, (int)2, (int)2, (int)64, (int)2>, (bool)1, (ninfer::ops::detail::W8Epilogue)0, ninfer::ops::detail::W8ContiguousOutput>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, T4, int, int, int, int)"
0.3,17038854,2838,6003.8,6496.0,2848,207006,3998.9,"void ninfer::ops::rmsnorm_cta_bf16x2_kernel<(ninfer::ops::RmsEpilogue)0, (int)512, (int)8>(const __nv_bfloat162 *, const __nv_bfloat162 *, const __nv_bfloat162 *, __nv_bfloat162 *, int, long long, float)"
0.3,16054786,54,297310.9,275582.5,21024,1121881,296745.7,"void ninfer::ops::rope_fixed_kernel<(ninfer::ops::RopeKernelMode)3, (int)16, (int)16>(const int *, ninfer::ops::RopeFrequencies, __nv_bfloat16 *, __nv_bfloat16 *, int, long long, long long)"
0.2,14115084,352,40099.7,45519.0,1984,536411,30917.2,"void ninfer::ops::gqa_attention_prefill_reduce_kernel<ninfer::ops::GqaGeometry<(int)24, (int)4, (int)1>>(const float *, const float *, const float *, float, int, int, __nv_bfloat16 *)"
0.2,13823601,1056,13090.5,15391.0,1792,36032,5052.3,"void ninfer::ops::rmsnorm_warp_bf16x2_kernel<(ninfer::ops::RmsEpilogue)2, (int)512>(const __nv_bfloat162 *, const __nv_bfloat162 *, const __nv_bfloat162 *, __nv_bfloat162 *, int, long long, float)"
0.2,13133741,110,119397.6,107007.5,21375,677531,115523.0,"void ninfer::ops::layer_norm_d1152_warp_kernel<(int)128>(const __nv_bfloat162 *, const __nv_bfloat162 *, const __nv_bfloat162 *, __nv_bfloat162 *, long long, float)"
0.2,12858977,864,14883.1,14592.0,13760,267615,8616.2,"void ninfer::ops::detail::bf16_gdn_gating_proj_gemm_mma_kernel<ninfer::ops::detail::Bf16Gdn27Geometry, (int)8, (bool)1, (int)8, (bool)0, (int)0>(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float, const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const float *, float *, float *, float *, int)"
0.2,11689694,64,182651.5,182239.0,179199,208415,3521.2,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)34816, (int)5120>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)128, (int)128, (int)256, (int)4, (int)2, (int)1, (int)2>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.1,8919611,2684,3323.3,3680.0,1375,5632,823.0,"void ninfer::ops::detail::nvfp4_w4a4_quantize_kernel<ninfer::ops::detail::Nvfp4ActivationGeometry<(int)5120>, (int)256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)"
0.1,8650843,128,67584.7,65919.5,64479,277182,18688.4,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)34816, (int)5120>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)16, (int)256, (int)256, (int)1, (int)16, (int)1, (int)2>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::<unnamed>::Nvfp4SwiGluOutput, ninfer::ops::detail::<unnamed>::Nvfp4SwiGluRows, (bool)1>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.1,8173523,64,127711.3,119295.0,87839,547419,53712.3,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)34816, (int)5120>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)32, (int)64, (int)256, (int)2, (int)4, (int)2, (int)2>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.1,7769322,192,40465.2,38591.5,35775,52415,5027.8,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)17408>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)32, (int)64, (int)256, (int)2, (int)4, (int)2, (int)2>, ninfer::ops::detail::Nvfp4AddResidualEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.1,7533913,64,117717.4,114687.0,111231,323007,26130.7,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)17408>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)128, (int)128, (int)256, (int)4, (int)2, (int)1, (int)2>, ninfer::ops::detail::Nvfp4AddResidualEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.1,6051243,352,17191.0,19712.0,3712,21472,5754.2,"void ninfer::ops::gqa_attention_prefill_fill_hq_kernel<ninfer::ops::GqaGeometry<(int)24, (int)4, (int)1>, ninfer::ops::GqaPrefillBatchMetadata<(bool)0>>(const __nv_bfloat16 *, const __nv_bfloat16 *, const int *, T2, unsigned char *, unsigned char *, unsigned char *, unsigned char *, int, __nv_bfloat16 *, __nv_bfloat16 *, unsigned int *)"
0.1,4877401,1920,2540.3,2688.0,959,3008,480.7,"void ninfer::ops::l2norm_warp_bf16x2_kernel<(int)512>(const __nv_bfloat162 *, __nv_bfloat162 *, int, long long, float)"
0.1,4841110,144,33618.8,30400.0,29440,296893,22209.8,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)16384, (int)5120>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)32, (int)64, (int)256, (int)2, (int)4, (int)2, (int)2>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4GdnInputOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.1,4781949,1342,3563.3,3968.0,1407,8863,931.4,"void ninfer::ops::detail::nvfp4_w4a4_quantize_kernel<ninfer::ops::detail::Nvfp4ActivationGeometry<(int)6144>, (int)256>(const __nv_bfloat16 *, unsigned char *, unsigned char *, int, float)"
0.1,4505992,48,93874.8,97039.5,80959,100415,6785.6,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)16384, (int)5120>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)128, (int)128, (int)256, (int)4, (int)2, (int)1, (int)2>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::Nvfp4GdnInputOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.1,3566337,352,10131.6,10752.0,1984,15360,3707.5,"void ninfer::ops::rope_norm_fused_kernel<(ninfer::ops::RopeKernelMode)2, (int)24, (int)4, (int)128>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat162 *, const __nv_bfloat162 *, float, const int *, ninfer::ops::RopeFrequencies, __nv_bfloat16 *, __nv_bfloat16 *, int)"
0.0,2998541,183,16385.5,14016.0,13408,220991,21130.2,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)6144>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)32, (int)64, (int)256, (int)2, (int)4, (int)2, (int)2>, ninfer::ops::detail::Nvfp4AddResidualEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.0,2958734,352,8405.5,9728.0,1344,15680,3019.8,"ninfer::ops::sigmoid_gate_mul_bf16x8_kernel(const ninfer::ops::Bf16PairPack<(int)4> *, ninfer::ops::Bf16PairPack<(int)4> *, long long)"
0.0,2624594,61,43026.1,43072.0,41632,44447,698.0,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)5120, (int)6144>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)128, (int)128, (int)256, (int)4, (int)2, (int)1, (int)2>, ninfer::ops::detail::Nvfp4AddResidualEpilogue, ninfer::ops::detail::Nvfp4ContiguousOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.0,2615151,12,217929.3,217358.5,144543,291806,76092.4,"void ninfer::ops::detail::bf16_gemm_mma_kernel<ninfer::ops::detail::Bf16GemvGeometry<(int)14336, (int)5120>, ninfer::ops::detail::Bf16MmaSchedule<(int)64, (int)128, (int)64, (int)32, (int)32, (int)2, (int)2, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Bf16MmaFragmentPipeline)1, (ninfer::ops::detail::Bf16MmaRaster)0, (ninfer::ops::detail::Bf16MmaSwizzle)1, (int)1>, (bool)0, ninfer::ops::detail::<unnamed>::Bf16AttentionInputMmaOutput>(const __nv_bfloat16 *, const __nv_bfloat16 *, T4, int)"
0.0,1540275,192,8022.3,7983.5,7743,8576,171.6,"void ninfer::ops::detail::bf16_gdn_gating_proj_gemm_mma_kernel<ninfer::ops::detail::Bf16Gdn27Geometry, (int)8, (bool)0, (int)8, (bool)0, (int)0>(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, float, const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const float *, float *, float *, float *, int)"
0.0,1374711,2,687355.5,687355.5,213630,1161081,669949.0,"void ninfer::ops::detail::q6_rowsplit_gemm_mma_kernel<ninfer::ops::detail::Q6RowSplitMmaGemmSchedule<(int)64, (int)128, (int)64, (int)64, (int)32, (int)2, (int)1, (ninfer::ops::detail::Q6FragmentPipeline)0, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Q6ScaleLoad)1, (int)2>, (bool)1>(const __nv_bfloat16 *, const unsigned char *, const unsigned char *, const unsigned char *, __nv_bfloat16 *, int, int, int, int)"
0.0,1310163,912,1436.6,1440.0,1344,1728,35.4,"ninfer::ops::causal_conv1d_prefill_state_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.0,1304243,128,10189.4,10223.5,4160,16480,5827.4,"ninfer::ops::silu_and_mul_dim0_split_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, int, long long, long long)"
0.0,1251738,83,15081.2,9792.0,9248,26688,7749.6,"void ninfer::ops::add_bias_bf16x8_kernel<(int)256, (int)4>(const ninfer::ops::Bf16PairPack<(int)4> *, ninfer::ops::Bf16PairPack<(int)4> *, int, int)"
0.0,1154777,12,96231.4,95888.0,95584,97439,642.6,"void ninfer::ops::detail::bf16_small_t_inner_kernel<ninfer::ops::detail::Bf16GemvGeometry<(int)14336, (int)5120>, (int)13, ninfer::ops::detail::Bf16SmallTInnerSchedule<(int)4, (int)1, (int)2, (int)8, (int)1, (int)4, (ninfer::ops::detail::Bf16SmallTActivationAccess)0, (ninfer::ops::detail::Bf16WeightCache)0, (ninfer::ops::detail::Bf16PhaseOrder)1, (int)1, (int)2, (int)1, (int)2>, ninfer::ops::detail::<unnamed>::Bf16AttentionInputSmallTOutput>(const __nv_bfloat16 *, const __nv_bfloat16 *, T4)"
0.0,1126937,96,11738.9,11712.0,11455,12064,145.7,"void ninfer::ops::detail::gated_delta_net::recurrent_bf16_direct_kernel<(bool)1>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const float *, const float *, float *, __nv_bfloat16 *, int, ninfer::ops::detail::gated_delta_net::head_map, float)"
0.0,867797,96,9039.6,9039.5,7104,11200,1870.1,"void ninfer::ops::detail::gated_delta_net::chunked::output::output_kernel<(bool)0>(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, const float *, const __nv_bfloat16 *, __nv_bfloat16 *, ninfer::ops::detail::gated_delta_net::head_map, float, int)"
0.0,823674,6,137279.0,136943.0,98687,176575,41779.5,"void ninfer::ops::detail::bf16_gemm_mma_kernel<ninfer::ops::detail::Bf16GemvGeometry<(int)5120, (int)6144>, ninfer::ops::detail::Bf16MmaSchedule<(int)64, (int)128, (int)64, (int)32, (int)32, (int)2, (int)2, (ninfer::ops::Cache)1, (ninfer::ops::Cache)1, (ninfer::ops::detail::Bf16MmaFragmentPipeline)1, (ninfer::ops::detail::Bf16MmaRaster)0, (ninfer::ops::detail::Bf16MmaSwizzle)1, (int)1>, (bool)0, ninfer::ops::detail::<unnamed>::Bf16LinearAddMmaOutput>(const __nv_bfloat16 *, const __nv_bfloat16 *, T4, int)"
0.0,813498,30,27116.6,26784.0,26080,28544,836.4,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)14336, (int)5120>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)32, (int)64, (int)256, (int)2, (int)4, (int)2, (int)2>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::<unnamed>::Nvfp4W4a4AttentionOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
0.0,631004,48,13145.9,13167.5,12768,13536,158.8,"ninfer::ops::causal_conv1d_sequence_kernel(const __nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, __nv_bfloat16 *, __nv_bfloat16 *, int, int)"
0.0,534299,164,3257.9,3264.0,1696,4160,479.5,"ninfer::ops::scatter_bf16x8_kernel(const uint4 *, const int *, uint4 *, int)"
0.0,521757,10,52175.7,52208.0,51263,52800,453.1,"void ninfer::ops::detail::nvfp4_w4a4_mma_kernel<ninfer::ops::detail::Nvfp4GemvGeometry<(int)14336, (int)5120>, ninfer::ops::detail::Nvfp4W4a4MmaSchedule<(int)128, (int)128, (int)256, (int)4, (int)2, (int)1, (int)2>, ninfer::ops::detail::Nvfp4IdentityEpilogue, ninfer::ops::detail::<unnamed>::Nvfp4W4a4AttentionOutput, ninfer::ops::detail::Nvfp4W4a4IdentityRows, (bool)0>(ninfer::ops::detail::Nvfp4W4a4MaterializedActivation, const unsigned char *, const unsigned char *, int, float, T3, T4, T5)"
